STITCH,Individual Side Effect,Side Effect Name
CID003062316,C1096328,central nervous system mass
CID003062316,C0162830,Photosensitivity reaction
CID003062316,C1611725,leukaemic infiltration brain
CID003062316,C0541767,platelet adhesiveness abnormal
CID003062316,C0242973,Ventricular dysfunction
CID003062316,C1167962,cytogenetic analysis abnormal
CID003062316,C0042023,pollakiuria
CID003062316,C0948183,myelocytosis
CID003062316,C0744403,gingival infection
CID003062316,C0748390,retroperitoneal lymphadenopathy
CID003062316,C0729847,iliac artery stenosis
CID003062316,C1096135,neutrophil count decreased
CID003062316,C0340861,electromechanical dissociation
CID003062316,C1262018,transplant failure
CID003062316,C0036982,shock haemorrhagic
CID003062316,C1698400,incision site oedema
CID003062316,C1141948,troponin increased
CID003062316,C0038565,subdiaphragmatic abscess
CID003062316,C0271051,Macular oedema
CID003062316,C0155765,capillary disorder
CID003062316,C0009760,Conjunctival haemorrhage
CID003062316,C0948344,escherichia urinary tract infection
CID003062316,C1519353,Rash papular
CID003062316,C0221201,Rash macular
CID003062316,C1112313,gastrointestinal mucosal disorder
CID003062316,C0008733,chylothorax
CID003062316,C0520863,diastolic dysfunction
CID003062316,C0151610,Tongue disorder
CID003062316,C0155966,diverticulum
CID003062316,C0151205,Periorbital oedema
CID003062316,C0264490,acute respiratory failure
CID003062316,C0936227,abnormal loss of weight
CID003062316,C0277585,drug intolerance
CID003062316,C0025293,meningitis listeria
CID003062316,C0398370,lipoedema
CID003062316,C0264714,cardiac failure acute
CID003062316,C0948525,musculoskeletal stiffness
CID003062316,C2830004,Somnolence
CID003062316,C0008625,cytogenetic abnormality
CID003062316,C0235437,Gravitational oedema
CID003062316,C0039496,temporomandibular joint syndrome
CID003062316,C0853068,glomerular filtration rate decreased
CID003062316,C0015402,Eye haemorrhage
CID003062316,C0239981,hypoalbuminaemia
CID003062316,C0155895,acute pulmonary oedema
CID003062316,C0520600,cardio-respiratory arrest
CID003062316,C0919780,metamyelocyte count increased
CID003062316,C0237849,skin desquamation
CID003062316,C2242501,brain natriuretic peptide
CID003062316,C0023311,intraocular lens implant
CID003062316,C0017178,Gastrointestinal disorder
CID003062316,C0849916,generalised erythema
CID003062316,C0042075,Urinary tract disorder
CID003062316,C0021080,immunosuppression
CID003062316,C0854467,Pancytopenia
CID003062316,C1963789,genital swelling
CID003062316,C0021368,Inflammation
CID003062316,C0019372,herpes virus infection
CID003062316,C0241669,venous occlusion
CID003062316,C0233472,affect lability
CID003062316,C0278678,metastatic renal cell carcinoma
CID003062316,C0031042,pericardial excision
CID003062316,C0151578,Blood creatinine increased
CID003062316,C0851341,Infestation
CID003062316,C0008370,Cholestasis
CID003062316,C0346156,benign breast neoplasm
CID003062316,C0241832,cerebrovascular insufficiency
CID003062316,C0333472,epidermolysis
CID003062316,C0450027,accidental exposure
CID003062316,C0238106,clostridium difficile colitis
CID003062316,C0151878,electrocardiogram qt prolonged
CID003062316,C0853117,blood testosterone decreased
CID003062316,C0263970,tendon rupture
CID003062316,C0007131,non-small cell lung cancer
CID003062316,C0242698,left ventricular dysfunction
CID003062316,C1096131,csf monocyte count increased
CID003062316,C0877322,muscle tightness
CID003062316,C0877248,adverse event
CID003062316,C0423791,Rash maculo-papular
CID003062316,C0549253,bladder dilatation
CID003062316,C0151609,Scrotal oedema
CID003062316,C1328317,ankle brachial index decreased
CID003062316,C0007222,Cardiovascular disorder
CID003062316,C0042790,Visual impairment
CID003062316,C0948374,large intestinal ulcer
CID003062316,C0333355,mucosal inflammation
CID003062316,C0947846,gastrointestinal disorder
CID003062316,C1869056,supraventricular tachyarrhythmia
CID003062316,C0151603,Generalised oedema
CID003062316,C1112192,erythrosis
CID003062316,C0279025,hormone therapy
CID003062316,C0020312,hydrothorax
CID003062316,C2242704,chronic myeloid leukaemia transformation
CID003062316,C0206160,reticulocytosis
CID003062316,C0311468,Blood bilirubin increased
CID003062316,C0743400,Ejection fraction decreased
CID003062316,C0919976,renal cancer metastatic
CID003062316,C0424091,decreased interest
CID003062316,C1112564,myopericarditis
CID003062316,C0234632,Visual acuity reduced
CID003062316,C0277890,blood pressure diastolic decreased
CID003062316,C0238113,radiation oesophagitis
CID003062316,C1700942,pulmonary arterial hypertension
CID003062316,C0851845,eyelid infection
CID003062316,C0877225,bone density decreased
CID003062316,C0004936,Mental disorder
CID003062316,C0949690,spinal osteoarthritis
CID003062316,C0033771,Prurigo
CID003062316,C0948425,large intestinal haemorrhage
CID003062316,C0920103,haematotoxicity
CID003062316,C0007193,congestive cardiomyopathy
CID003062316,C0152193,astigmatism
CID003062316,C0151604,Oedema genital
CID003062316,C0860967,Blood calcium decreased
